FECHA_ACCIDENTE,Y,CLASE_ACCIDENTE
2014-03-05,13,Atropello
2014-03-06,17,Atropello
2014-03-07,12,Atropello
2014-03-08,15,Atropello
2014-03-09,21,Atropello
2014-03-10,13,Atropello
2014-03-11,9,Atropello
2014-03-12,14,Atropello
2014-03-13,17,Atropello
2014-03-14,18,Atropello
2014-03-15,13,Atropello
2014-03-16,20,Atropello
2014-03-17,12,Atropello
2014-03-18,9,Atropello
2014-03-19,12,Atropello
2014-03-20,17,Atropello
2014-03-21,12,Atropello
2014-03-22,15,Atropello
2014-03-23,20,Atropello
2014-03-24,12,Atropello
2014-03-25,9,Atropello
2014-03-26,10,Atropello
2014-03-27,17,Atropello
2014-03-28,12,Atropello
2014-03-29,15,Atropello
2014-03-30,13,Atropello
2014-03-31,12,Atropello
2014-04-01,9,Atropello
2014-04-02,8,Atropello
2014-04-03,17,Atropello
2014-04-04,12,Atropello
2014-04-05,15,Atropello
2014-04-06,19,Atropello
2014-04-07,12,Atropello
2014-04-08,9,Atropello
2014-04-09,6,Atropello
2014-04-10,17,Atropello
2014-04-11,12,Atropello
2014-04-12,15,Atropello
2014-04-13,19,Atropello
2014-04-14,12,Atropello
2014-04-15,14,Atropello
2014-04-16,12,Atropello
2014-04-17,15,Atropello
2014-04-18,11,Atropello
2014-04-19,12,Atropello
2014-04-20,18,Atropello
2014-04-21,11,Atropello
2014-04-22,8,Atropello
2014-04-23,18,Atropello
2014-04-24,13,Atropello
2014-04-25,11,Atropello
2014-04-26,10,Atropello
2014-04-27,18,Atropello
2014-04-28,11,Atropello
2014-04-29,14,Atropello
2014-04-30,13,Atropello
2014-05-01,11,Atropello
2014-05-02,10,Atropello
2014-05-03,7,Atropello
2014-05-04,17,Atropello
2014-05-05,11,Atropello
2014-05-06,8,Atropello
2014-05-07,25,Atropello
2014-05-08,9,Atropello
2014-05-09,10,Atropello
2014-05-10,5,Atropello
2014-05-11,17,Atropello
2014-05-12,11,Atropello
2014-05-13,8,Atropello
2014-05-14,13,Atropello
2014-05-15,21,Atropello
2014-05-16,11,Atropello
2014-05-17,6,Atropello
2014-05-18,18,Atropello
2014-05-19,12,Atropello
2014-05-20,8,Atropello
2014-05-21,20,Atropello
2014-05-22,9,Atropello
2014-05-23,12,Atropello
2014-05-24,8,Atropello
2014-05-25,20,Atropello
2014-05-26,13,Atropello
2014-05-27,8,Atropello
2014-05-28,15,Atropello
2014-05-29,10,Atropello
2014-05-30,18,Atropello
2014-05-31,13,Atropello
2014-06-01,21,Atropello
2014-06-02,14,Atropello
2014-06-03,8,Atropello
2014-06-04,10,Atropello
2014-06-05,10,Atropello
2014-06-06,13,Atropello
2014-06-07,10,Atropello
2014-06-08,23,Atropello
2014-06-09,15,Atropello
2014-06-10,8,Atropello
2014-06-11,5,Atropello
2014-06-12,11,Atropello
2014-06-13,15,Atropello
2014-06-14,13,Atropello
2014-06-15,13,Atropello
2014-06-16,13,Atropello
2014-06-17,8,Atropello
2014-06-18,6,Atropello
2014-06-19,11,Atropello
2014-06-20,16,Atropello
2014-06-21,12,Atropello
2014-06-22,18,Atropello
2014-06-23,11,Atropello
2014-06-24,9,Atropello
2014-06-25,7,Atropello
2014-06-26,12,Atropello
2014-06-27,17,Atropello
2014-06-28,13,Atropello
2014-06-29,13,Atropello
2014-06-30,12,Atropello
2014-07-01,10,Atropello
2014-07-02,8,Atropello
2014-07-03,12,Atropello
2014-07-04,18,Atropello
2014-07-05,15,Atropello
2014-07-06,14,Atropello
2014-07-07,10,Atropello
2014-07-08,11,Atropello
2014-07-09,9,Atropello
2014-07-10,13,Atropello
2014-07-11,20,Atropello
2014-07-12,17,Atropello
2014-07-13,10,Atropello
2014-07-14,12,Atropello
2014-07-15,14,Atropello
2014-07-16,12,Atropello
2014-07-17,9,Atropello
2014-07-18,16,Atropello
2014-07-19,19,Atropello
2014-07-20,15,Atropello
2014-07-21,16,Atropello
2014-07-22,11,Atropello
2014-07-23,18,Atropello
2014-07-24,13,Atropello
2014-07-25,16,Atropello
2014-07-26,21,Atropello
2014-07-27,14,Atropello
2014-07-28,18,Atropello
2014-07-29,12,Atropello
2014-07-30,13,Atropello
2014-07-31,21,Atropello
2014-08-01,17,Atropello
2014-08-02,18,Atropello
2014-08-03,11,Atropello
2014-08-04,17,Atropello
2014-08-05,10,Atropello
2014-08-06,16,Atropello
2014-08-07,7,Atropello
2014-08-08,18,Atropello
2014-08-09,15,Atropello
2014-08-10,8,Atropello
2014-08-11,16,Atropello
2014-08-12,8,Atropello
2014-08-13,14,Atropello
2014-08-14,21,Atropello
2014-08-15,18,Atropello
2014-08-16,13,Atropello
2014-08-17,16,Atropello
2014-08-18,13,Atropello
2014-08-19,13,Atropello
2014-08-20,10,Atropello
2014-08-21,9,Atropello
2014-08-22,12,Atropello
2014-08-23,21,Atropello
2014-08-24,15,Atropello
2014-08-25,5,Atropello
2014-08-26,14,Atropello
2014-08-27,5,Atropello
2014-08-28,11,Atropello
2014-08-29,18,Atropello
2014-08-30,13,Atropello
2014-08-31,13,Atropello
2014-09-01,11,Atropello
2014-09-02,16,Atropello
2014-09-03,8,Atropello
2014-09-04,9,Atropello
2014-09-05,16,Atropello
2014-09-06,18,Atropello
2014-09-07,15,Atropello
2014-09-08,17,Atropello
2014-09-09,18,Atropello
2014-09-10,11,Atropello
2014-09-11,8,Atropello
2014-09-12,14,Atropello
2014-09-13,15,Atropello
2014-09-14,16,Atropello
2014-09-15,17,Atropello
2014-09-16,14,Atropello
2014-09-17,14,Atropello
2014-09-18,20,Atropello
2014-09-19,17,Atropello
2014-09-20,6,Atropello
2014-09-21,16,Atropello
2014-09-22,6,Atropello
2014-09-23,13,Atropello
2014-09-24,17,Atropello
2014-09-25,14,Atropello
2014-09-26,10,Atropello
2014-09-27,18,Atropello
2014-09-28,9,Atropello
2014-09-29,18,Atropello
2014-09-30,13,Atropello
2014-10-01,20,Atropello
2014-10-02,14,Atropello
2014-10-03,10,Atropello
2014-10-04,12,Atropello
2014-10-05,10,Atropello
2014-10-06,6,Atropello
2014-10-07,12,Atropello
2014-10-08,23,Atropello
2014-10-09,14,Atropello
2014-10-10,11,Atropello
2014-10-11,7,Atropello
2014-10-12,12,Atropello
2014-10-13,7,Atropello
2014-10-14,12,Atropello
2014-10-15,13,Atropello
2014-10-16,13,Atropello
2014-10-17,14,Atropello
2014-10-18,28,Atropello
2014-10-19,16,Atropello
2014-10-20,7,Atropello
2014-10-21,15,Atropello
2014-10-22,13,Atropello
2014-10-23,9,Atropello
2014-10-24,13,Atropello
2014-10-25,15,Atropello
2014-10-26,9,Atropello
2014-10-27,8,Atropello
2014-10-28,18,Atropello
2014-10-29,10,Atropello
2014-10-30,8,Atropello
2014-10-31,18,Atropello
2014-11-01,9,Atropello
2014-11-02,10,Atropello
2014-11-03,10,Atropello
2014-11-04,12,Atropello
2014-11-05,10,Atropello
2014-11-06,8,Atropello
2014-11-07,19,Atropello
2014-11-08,4,Atropello
2014-11-09,11,Atropello
2014-11-10,13,Atropello
2014-11-11,6,Atropello
2014-11-12,10,Atropello
2014-11-13,8,Atropello
2014-11-14,9,Atropello
2014-11-15,22,Atropello
2014-11-16,6,Atropello
2014-11-17,11,Atropello
