Formula modelo,MAE train,MAE test,Variación validación (MAE)
Y~Y1+Y2+Y3+Y4+Y7,5.931267600506726,5.863480939509535,1.142869712899143
Y~Y1+Y2+Y3+Y4+Y14,6.078728187066728,6.133376236236106,0.8990046517567419
Y~Y1+Y2+Y3+Y4+CLASE_ACCIDENTE,6.248564434073833,6.346153139802244,1.5617780173035136
Y~Y1+Y2+Y3+Y4+DIA_SEMANA,6.314833381853071,6.408892707029265,1.4894981306473143
Y~Y1+Y2+Y3+Y4+FIN_SEMANA,6.317257029689243,6.419950635596281,1.6256043631659922
Y~Y1+Y2+Y3+Y4+FESTIVO,6.335109600316264,6.415493285842796,1.2688602186538165
Y~Y1+Y2+Y3+Y4+QUINCENA,6.316769921426968,6.3835691967145936,1.0574910297276607
Y~Y1+Y2+Y3+Y4+QUINCENA_DESPUES,6.340962225528548,6.419717945976704,1.2420152911664892
Y~Y1+Y2+Y3+Y7+Y14,5.873902926358984,5.854886495185292,0.3237443895839046
Y~Y1+Y2+Y3+Y7+CLASE_ACCIDENTE,5.973004969595083,5.90090737346298,1.2070573605598502
Y~Y1+Y2+Y3+Y7+DIA_SEMANA,6.006273796759802,5.940751388870365,1.090899451250203
Y~Y1+Y2+Y3+Y7+FIN_SEMANA,6.005502338213268,5.946743498308021,0.9784167351224188
Y~Y1+Y2+Y3+Y7+FESTIVO,5.997246320659266,5.913111484898308,1.402891114729287
Y~Y1+Y2+Y3+Y7+QUINCENA,6.002335139383045,5.916762682598714,1.4256527634197858
Y~Y1+Y2+Y3+Y7+QUINCENA_DESPUES,5.997915531260016,5.918937393614649,1.3167597515128049
Y~Y1+Y2+Y3+Y14+CLASE_ACCIDENTE,6.139186822869623,6.200574749371137,0.9999357939854988
Y~Y1+Y2+Y3+Y14+DIA_SEMANA,6.1832534222097975,6.230967677659313,0.7716690905491542
Y~Y1+Y2+Y3+Y14+FIN_SEMANA,6.188240749946214,6.232248223311836,0.7111467563055693
Y~Y1+Y2+Y3+Y14+FESTIVO,6.172871950154,6.20165400826134,0.4662668906751235
Y~Y1+Y2+Y3+Y14+QUINCENA,6.180942622628863,6.2052760855482365,0.3936853066761521
Y~Y1+Y2+Y3+Y14+QUINCENA_DESPUES,6.17552976417913,6.2072964862861495,0.514396712833951
Y~Y1+Y2+Y3+CLASE_ACCIDENTE+DIA_SEMANA,6.375132864009276,6.457701693091702,1.2951703257600808
Y~Y1+Y2+Y3+CLASE_ACCIDENTE+FIN_SEMANA,6.353498891911445,6.455758671818424,1.6095033877658147
